Designator Feeder               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

JP7        2                   1000mil       500mil       2500mil       1100mil       2500mil       1100mil  T        360.00 MCU PWR        
C3         0805                  1145mil       4600mil       1190mil       4600mil       1190mil       4600mil  T        180.00 C3description               
C6         0805                  1850mil       3470mil       1850mil       3515mil       1850mil       3515mil  T        270.00 C6description              
C7         0805                  2580mil       3275mil       2625mil       3275mil       2625mil       3275mil  T        180.00 .1uF           
C4         RB_.2/.4_SS           1200mil       4300mil       1300mil       4300mil       1100mil       4300mil  T        180.00 C4description               
C5         0805                  2240mil       3460mil       2240mil       3505mil       2240mil       3505mil  T        270.00 C5description               
C8         0805                  2580mil       3150mil       2625mil       3150mil       2625mil       3150mil  T        180.00 .1uF           
C9         0805                  2580mil       3025mil       2625mil       3025mil       2625mil       3025mil  T        180.00 .1uF           
C10        0805                  1850mil       2830mil       1850mil       2785mil       1850mil       2785mil  T         90.00  C10description              
C11        0805                  1505mil       3175mil       1550mil       3175mil       1550mil       3175mil  T        180.00  C11description              
C13        0805                  1505mil       3050mil       1550mil       3050mil       1550mil       3050mil  T        180.00  C13description              
JP1        JMP0.3                1630mil       3800mil       1630mil       3700mil       1630mil       3700mil  T         90.00 VREF_SELECT    
R1         2512                  2000mil   3541.732mil       2000mil       3425mil       2000mil       3425mil  T         90.00  R1description              
R2         2512                  2000mil   2758.268mil       2000mil       2875mil       2000mil       2875mil  T        270.00  R2description              
R4         VR5                   1445mil       3820mil       1445mil       3820mil       1445mil       3720mil  T         90.00  R4description              
R5         0805                  1505mil       3300mil       1460mil       3300mil       1460mil       3300mil  T        360.00  R5description              
R7         0805                  1505mil       2925mil       1460mil       2925mil       1460mil       2925mil  T        360.00  R7description              
TP1        TEST_POINT_0.052        300mil       4400mil        300mil       4400mil        300mil       4400mil  T          0.00 ISENA          
TP2        TEST_POINT_0.052        300mil       4200mil        300mil       4200mil        300mil       4200mil  T          0.00 HOME           
TP3        TEST_POINT_0.052        300mil       4000mil        300mil       4000mil        300mil       4000mil  T          0.00 DIR            
TP4        TEST_POINT_0.052        300mil       3800mil        300mil       3800mil        300mil       3800mil  T          0.00 AOUT1          
TP5        TEST_POINT_0.052        300mil       3600mil        300mil       3600mil        300mil       3600mil  T          0.00 DECAY          
TP6        TEST_POINT_0.052        300mil       3400mil        300mil       3400mil        300mil       3400mil  T          0.00 RCA            
TP7        TEST_POINT_0.052        300mil       3200mil        300mil       3200mil        300mil       3200mil  T          0.00 VREF           
TP8        TEST_POINT_0.052        300mil       3000mil        300mil       3000mil        300mil       3000mil  T          0.00 RCB            
TP9        TEST_POINT_0.052        300mil       2600mil        300mil       2600mil        300mil       2600mil  T          0.00 BOUT1          
TP10       TEST_POINT_0.052        300mil       2400mil        300mil       2400mil        300mil       2400mil  T          0.00 USM1           
TP11       TEST_POINT_0.052        300mil       2200mil        300mil       2200mil        300mil       2200mil  T          0.00 USM0           
TP12       TEST_POINT_0.052        300mil       2000mil        300mil       2000mil        300mil       2000mil  T          0.00 ISENB          
TP13       TEST_POINT_0.052       3500mil       2100mil       3500mil       2100mil       3500mil       2100mil  T          0.00 SRn            
TP14       TEST_POINT_0.052       3500mil       2300mil       3500mil       2300mil       3500mil       2300mil  T          0.00 RESETn         
TP15       TEST_POINT_0.052       3500mil       2500mil       3500mil       2500mil       3500mil       2500mil  T          0.00 BOUT2          
TP16       TEST_POINT_0.052       3500mil       2700mil       3500mil       2700mil       3500mil       2700mil  T          0.00 STEP           
TP17       TEST_POINT_0.052       3500mil       3900mil       3500mil       3900mil       3500mil       3900mil  T          0.00 VCP            
TP18       TEST_POINT_0.052       3500mil       4100mil       3500mil       4100mil       3500mil       4100mil  T          0.00 CP2            
TP19       TEST_POINT_0.052       3500mil       4300mil       3500mil       4300mil       3500mil       4300mil  T         90.00 CP1            
TP20       TEST_POINT_0.052       3500mil       4500mil       3500mil       4500mil       3500mil       4500mil  T          0.00 AOUT2          
TP21       TEST_POINT_0.052       3500mil       4700mil       3500mil       4700mil       3500mil       4700mil  T         90.00 ENABLEn        
TP22       TEST_POINT_0.052       3500mil       4900mil       3500mil       4900mil       3500mil       4900mil  T         90.00 SLEEPn         
TP23       TEST_POINT_0.052       1600mil       4900mil       1600mil       4900mil       1600mil       4900mil  T         90.00 GND            
TP24       TEST_POINT_0.052        800mil       4900mil        800mil       4900mil        800mil       4900mil  T         90.00 VM             
TP25       TEST_POINT_0.052        300mil       2800mil        300mil       2800mil        300mil       2800mil  T         90.00 VDD            
U1         HTSSOP28_-_DRV8818   2129.921mil   3133.661mil   2019.685mil       3300mil   2019.685mil       3300mil  T        270.00 DRV8818        
D1         1206_LED           475.984mil       4600mil    540.945mil       4600mil    540.945mil       4600mil  T        180.00 VBB            
R3         0805                   800mil       4645mil        800mil       4600mil        800mil       4600mil  T         90.00 Res1           
C18        RB_.1/.250            2425mil        675mil       2425mil        625mil       2425mil        725mil  T        270.00 Cap Pol1       
C22        RB_.1/.250            1700mil        400mil       1700mil        350mil       1700mil        450mil  T        270.00 Cap Pol1       
C20        0805                  2700mil        405mil       2700mil        360mil       2700mil        360mil  T         90.00 Cap            
JMP1       HDR1X3                3200mil       1400mil       3100mil       1400mil       3100mil       1400mil  T        360.00 PWR Select     
L1         0805                   750mil        830mil        750mil        785mil        750mil        785mil  T         90.00 L1description               
R10        0805                  2000mil        405mil       2000mil        360mil       2000mil        360mil  T         90.00 Res2           
R11        0805                  1500mil        405mil       1500mil        360mil       1500mil        360mil  T         90.00 Res2           
R12        0805                  1500mil        180mil       1500mil        135mil       1500mil        135mil  T         90.00 Res2           
U2         FT232RL           1239.567mil    854.921mil   1073.228mil        725mil   1073.228mil        725mil  T         90.00 FTD232R        
U4         TL7726                1075mil        275mil        950mil        350mil        950mil        350mil  T        360.00 TPS77701       
Y1         XTAL                  2800mil        625mil       2900mil        625mil       2900mil        625mil  T        180.00 8 MHZ          
D11        1206_LED              2150mil    410.039mil       2150mil        475mil       2150mil        475mil  T        270.00 LED3           
TP30       TEST_POINT_0.052       3500mil       3700mil       3500mil       3700mil       3500mil       3700mil  T         90.00 VGD            

